Period	Period mid	R
3	3	0.8532560632391261
3	12	0.8314290884303822
3	13	0.8543786759765555
3	14	0.8587724711753408
3	15	0.8429782862240246
4	5	0.9098637816320708
4	7	0.9253799029815536
4	8	0.8972076159609879
4	9	0.9025478281984904
4	10	0.895111366856492
4	11	0.9054229473546731
4	12	0.9107615972220133
4	13	0.9048233380118241
4	15	0.9204447264485264
4	16	0.8137137140762195
4	17	0.8062269905685238
5	3	0.9241258926193106
5	4	0.8908160876657143
5	5	0.8830986552526165
5	6	0.9325235868201287
5	7	0.901824832653895
5	8	0.9373715838975237
5	9	0.8937294568784494
5	10	0.9068900971584422
5	11	0.8092417456413671
5	12	0.8813691014847885
5	13	0.920379474698542
5	14	0.9293129242304149
5	15	0.9267638277460556
5	16	0.9053163415117599
5	17	0.9317423295275116
5	18	0.9405748065679825
5	19	0.9199719781263087
5	20	0.9312577120123303
5	21	0.9088919975236722
5	22	0.8887795376082407
6	3	0.8818212891290832
6	4	0.9408981102747355
6	5	0.9328099103621971
6	6	0.9388000406682041
6	7	0.8483554065524255
6	8	0.8316217830540855
6	9	0.8758223905678031
6	10	0.8934553194181618
6	11	0.9213695575029665
6	12	0.9431024498621793
6	14	0.9129277464554868
6	16	0.8147416232487377
6	17	0.9249957604321496
6	18	0.8589883995114885
6	19	0.8757945775833267
6	20	0.9108056109510658
7	3	0.8902592387764767
7	5	0.8174761452328678
7	6	0.8917514782384219
7	7	0.8966803470739301
7	8	0.8354976607967486
7	10	0.8465582876971859
7	31	0.8792799902787676
7	32	0.8341370575983057
7	33	0.8790243809319004
7	34	0.8621251437670087
7	35	0.8991531005730369
7	36	0.8924048644032851
8	3	0.8696491260342738
8	4	0.8600982163054366
8	5	0.9135205439169954
8	11	0.8863337992564324
8	12	0.8969135054125748
8	13	0.8844955344487979
8	14	0.8437491390090358
8	15	0.8041328300914853
8	18	0.8456978694447675
8	19	0.8128505069924098
8	22	0.8592262733043671
8	23	0.8916748754667335
8	24	0.8839579107990116
8	25	0.9002747950786972
8	26	0.8956650478216642
8	27	0.912631459099562
8	28	0.9369408058997025
8	29	0.9086912418537301
8	30	0.8916064501656503
8	31	0.8920684792007654
8	32	0.9386973414897758
8	35	0.9194564390952523
9	3	0.9499282052316488
9	4	0.940718927310801
9	5	0.8586673868889897
9	7	0.8684779945774941
9	8	0.860909181967878
9	9	0.8927995985361264
9	10	0.8495150204325649
9	12	0.8547115993518104
9	13	0.8607042899617834
9	14	0.8416667569801107
9	15	0.9000815135072724
9	16	0.8925939245006702
9	17	0.8723414640688207
9	18	0.8509011571391055
9	19	0.8899033881139449
9	20	0.8631177100233925
9	21	0.8725168300427029
9	22	0.9262137657269476
9	23	0.9273745738850917
9	25	0.937221731127967
9	26	0.9431040530821038
9	27	0.9273154868883186
9	28	0.9145207882450819
9	29	0.8108479218337553
9	30	0.9174884287831826
9	31	0.8478504100187061
10	4	0.8538831847545096
10	5	0.9097663818027969
10	6	0.8817781672088809
10	7	0.8570112025142904
10	8	0.8259937206928214
10	9	0.8226189303237618
10	10	0.9109872221878929
10	11	0.9445249106628663
10	12	0.8919124445337296
10	14	0.8542625549450028
10	15	0.8149696922605346
10	19	0.8932824295133851
10	20	0.8470371724029796
10	21	0.868311334279557
10	23	0.9125319582661467
10	30	0.8478393577104623
11	3	0.8890704837837623
11	5	0.8305168137930885
11	8	0.9033284678878436
11	9	0.8946689664738687
11	10	0.8091312440478492
11	11	0.8697753701649305
11	12	0.9052487346325981
11	13	0.9381245870057244
11	21	0.8058906114155593
12	5	0.8179887158813993
12	6	0.8517387355314976
12	7	0.8179428166416032
12	8	0.8570251189585542
12	9	0.9103213194229501
12	10	0.9437026839079393
12	11	0.9301356291035424
12	13	0.815930438909661
12	14	0.8317300311284159
12	16	0.9284315170095181
12	17	0.9017084127078836
13	3	0.8600005730052384
13	4	0.8908102556517621
13	5	0.8919431318609748
13	6	0.8707808720382766
13	10	0.8866160726741377
13	11	0.824311776775089
13	12	0.9137615030816628
13	13	0.8850554716800945
13	14	0.9367299872739261
13	15	0.8442256669714694
13	36	0.8215051779969624
14	3	0.8980911089630911
14	4	0.8897310320625132
14	5	0.9457612365404899
14	7	0.9301876096206063
14	8	0.8792278197342285
14	10	0.928229731952942
14	11	0.9252603177087279
14	12	0.8859662963882075
14	28	0.8284212641030053
14	29	0.8012662424778284
15	3	0.9318376268123295
15	5	0.9447615365558094
15	6	0.880209114159562
15	7	0.9445979891205348
15	8	0.9103533029029928
15	9	0.830648466597698
15	10	0.8379058400003347
15	18	0.8300242698873211
15	35	0.8167531576241921
16	6	0.8751162303254023
16	7	0.8597479311290404
16	8	0.8144951922110831
16	15	0.8398138050923635
16	17	0.8456446206116178
16	18	0.9293596059098326
16	23	0.8044883270582458
17	3	0.9474801897132049
17	4	0.8744501145370005
17	5	0.8087119158012365
17	12	0.8038386081647215
17	13	0.8595949666592674
17	14	0.8859778695788467
17	15	0.9404460331908521
17	16	0.8193063329155653
17	18	0.8226980427442673
18	3	0.933024044274604
18	4	0.8072477088244182
18	11	0.8207570281447466
18	12	0.9019511064089026
18	13	0.8891449911484756
18	14	0.8697745855763176
18	15	0.8410247276995325
19	3	0.839208948669192
19	9	0.8273115698931179
19	10	0.8798533279626456
19	11	0.882144909239779
19	12	0.8270837670758463
19	14	0.8264651776646803
20	3	0.8282328212328246
20	4	0.8049658785596867
20	7	0.8300732978186804
20	8	0.8739846877206593
20	9	0.9396546973568444
21	7	0.8686503880040387
21	8	0.9070488101588754
21	9	0.8311770958061622
22	7	0.8403923045709066
22	8	0.8372660478158261
22	9	0.802089947657493
23	8	0.8172908289690568
23	9	0.8109929581989893
24	8	0.824411665897496
25	7	0.8681413890667592
26	6	0.8156452160284065
27	7	0.8025853624201823
28	6	0.816420300084978
30	7	0.8022654875891955
30	12	-0.8270884486408323
31	11	-0.8155596010292075
31	37	-0.8454283634779016
31	38	-0.8259061577618443
32	3	0.8095078577125719
32	4	0.8149620274509085
32	34	-0.8525571726584728
33	31	-0.8525754316461445
35	26	-0.8175006176174464
35	36	-0.8018871906925205
35	39	-0.8643780934429401
36	23	-0.8185978034329277
36	33	-0.8020616323942026
36	36	-0.8514155666491372
36	37	-0.8876247760937935
36	38	-0.8971772024043617
36	39	-0.872830295861388
37	19	-0.8374409446634823
37	21	-0.8252149792326282
37	33	-0.8344951217535205
37	34	-0.8685170501173044
37	35	-0.8908483130003443
37	36	-0.8727631171167896
37	37	-0.8487844793887889
37	38	-0.8453456168860559
37	39	-0.8909942274751307
38	16	-0.8537906391728267
38	17	-0.8704496591008558
38	18	-0.8160510727702199
38	30	-0.8105045591430508
38	31	-0.8599611504768004
38	32	-0.8816188540743627
38	33	-0.887005450376893
38	34	-0.9026256863306447
38	35	-0.8548835301726935
38	36	-0.8811493926025835
38	37	-0.8997743398699365
38	38	-0.9037709164495287
38	39	-0.892449897112306
39	15	-0.8484517856943824
39	16	-0.8314315410817394
39	19	-0.8257527025576215
39	28	-0.8475631475373885
39	29	-0.8657407479377177
39	30	-0.9111070292449901
39	31	-0.9115730041596831
39	32	-0.8715805193801821
39	33	-0.8818194994767861
39	34	-0.9124361521675005
39	35	-0.9038447270223845
39	36	-0.9071366549141522
39	37	-0.8736651255175037
39	38	-0.8763290564273473
